,First,Last,Nickname,Stance,Belt,height,reach,weight,win,lose,draw,total_fights,fighters_id
1209,Mitch,Gagnon,,Southpaw,,165.1,165.1,61.235,12,5,0,17,FIG1881
1210,Brandon,Gaines,,,,190.5,,83.915,5,21,0,26,FIG0878
1211,Travis,Galbraith,The Gladiator,Orthodox,,182.88,,77.111,18,7,0,25,FIG0921
1212,Dave,Galera,Scarecrow,Orthodox,,180.34,,61.235,5,1,0,6,FIG3574
1213,Zelg,Galesic,Benkei,Orthodox,,187.96,,83.915,11,9,0,20,FIG1513
1214,Mickey,Gall,,Switch,,187.96,187.96,77.111,7,5,0,12,FIG2581
1215,Daniel,Gallemore,Big Kansas,,,195.57999999999998,,120.202,7,3,0,10,FIG3025
1216,Tom,Gallicchio,Da Tank,Southpaw,,177.8,,77.111,19,10,0,29,FIG0685
1217,Turrell,Galloway,,,,160.02,,65.771,8,6,0,14,FIG2279
1218,Eric,Galvan,,,,,,70.307,0,0,0,0,FIG4087
1219,Andre,Galvao,,Orthodox,,170.18,,76.203,5,2,0,7,FIG3460
1220,Marcos,Galvao,Loro,Orthodox,,170.18,,61.235,18,8,1,27,FIG0764
1221,Lucas,Gamaza,,,,,,77.111,8,4,0,12,FIG2596
1222,Joey,Gambino,The Raging Warrior,Orthodox,,170.18,,65.771,9,2,0,11,FIG2821
1223,Manvel,Gamburyan,The Anvil,Orthodox,,165.1,170.18,61.235,15,10,0,25,FIG0947
1224,Mateusz,Gamrot,Gamer,Southpaw,,177.8,177.8,70.307,22,2,0,24,FIG1047
1225,Shamil,Gamzatov,,Orthodox,,187.96,193.04,92.986,14,1,0,15,FIG2138
1226,Ariel,Gandulla,,Orthodox,,180.34,,92.986,7,9,0,16,FIG1983
1227,Ciryl,Gane,Bon Gamin,Orthodox,,193.04,205.74,111.13,12,2,0,14,FIG2268
1228,Sean,Gannon,The Cannon,Southpaw,,190.5,,120.202,2,1,0,3,FIG3904
1229,Junye,Gao,,,,,,56.699,19,12,0,31,FIG0555
1230,Eduardo,Garagorri,,Orthodox,,175.26,177.8,65.771,13,2,0,15,FIG2139
1231,Cody,Garbrandt,No Love,Orthodox,,172.72,165.1,61.235,13,5,0,18,FIG1659
1232,Leonard,Garcia,Bad Boy,Orthodox,,177.8,172.72,65.771,18,13,1,32,FIG0515
1233,Edgar,Garcia,,Orthodox,,177.8,180.34,77.111,14,5,0,19,FIG1547
1234,Alejandro,Garcia,Alex,,,170.18,,65.771,14,10,0,24,FIG1049
1235,Alex,Garcia,The Dominican Nightmare,Orthodox,,175.26,182.88,77.111,15,6,0,21,FIG1353
1236,Nick,Garcia,Nitro,,,162.56,,56.699,8,3,0,11,FIG2779
1237,Steve,Garcia,Mean Machine,Southpaw,,182.88,190.5,65.771,14,5,0,19,FIG1546
1238,Elias,Garcia,,Southpaw,,165.1,170.18,56.699,6,2,0,8,FIG3316
1239,Rafa,Garcia,Gifted,Orthodox,,170.18,177.8,70.307,16,3,0,19,FIG1555
1240,Fernie,Garcia,,Orthodox,,170.18,170.18,61.235,10,4,0,14,FIG2370
1241,Rulon,Gardner,,Orthodox,,190.5,,120.202,1,0,0,1,FIG4083
1242,David,Gardner,,Orthodox,,180.34,,70.307,18,21,0,39,FIG0266
1243,Ian,Garry,The Future,Orthodox,,190.5,187.96,77.111,13,0,0,13,FIG2487
1244,Pablo,Garza,The Scarecrow,Orthodox,,185.42,185.42000000000002,65.771,12,4,0,16,FIG1987
1245,Azamat,Gashimov,,Orthodox,,167.64000000000001,,56.699,8,3,0,11,FIG2755
1246,Brian,Gassaway,,Orthodox,,185.42,,77.111,29,20,2,51,FIG0092
1247,Kelvin,Gastelum,,Southpaw,,175.26,180.34,77.111,18,8,0,26,FIG0849
1248,Willie,Gates,,Orthodox,,172.72,182.88,56.699,12,7,0,19,FIG1565
1249,Melissa,Gatto,,Orthodox,,165.1,175.26,56.699,8,2,2,12,FIG2628
1250,Louis,Gaudinot,Goodnight,Orthodox,,160.02,160.02,56.699,8,4,0,12,FIG2626
1251,Manuel,Gaxhja,,Switch,,172.72,,70.307,7,0,0,7,FIG3463
1252,Shamil,Gaziev,,Orthodox,,193.04,198.12,120.202,10,0,0,10,FIG3575
1253,Charlene,Gellner,Princess,,,157.48000000000002,,56.699,0,4,0,4,FIG3776
1254,Chad,George,Savage,Southpaw,,167.64000000000001,172.72,61.235,16,8,0,24,FIG1034
1255,Paul,Georgieff,,Orthodox,,187.96,,77.111,6,2,0,8,FIG3337
1256,Brian,Geraghty,Duke,Orthodox,,170.18,,70.307,26,18,1,45,FIG0160
1257,Derek,Getzel,The Pretzel,,,182.88,,70.307,8,5,0,13,FIG2417
1258,Karine,Gevorgyan,The Princess,,,162.56,160.02,56.699,3,3,0,6,FIG3576
1259,Yanis,Ghemmouri,The Desert Warrior,Orthodox,,175.26,175.26,65.771,12,2,0,14,FIG2383
1260,Darrel,Gholar,,Orthodox,,172.72,,87.997,5,6,0,11,FIG2769
1261,Tiki,Ghosn,,Orthodox,,177.8,,77.111,10,7,1,18,FIG1660
1262,Christos,Giagos,The Spartan,Orthodox,,177.8,180.34,70.307,20,11,0,31,FIG0614
1263,Joe,Giannetti,,Southpaw,,182.88,187.96,70.307,6,1,0,7,FIG3464
1264,Nick,Gibbons,,,,177.8,,70.307,2,1,0,3,FIG3905
1265,James,Giboo,,Orthodox,,180.34,,77.111,13,5,0,18,FIG1662
1266,Lance,Gibson,Fearless,Orthodox,,175.26,,83.915,4,5,0,9,FIG3103
1267,Lee,Gibson,Lethal,,,170.18,,70.307,12,4,0,16,FIG1988
1268,Cody,Gibson,The Renegade,Orthodox,,177.8,180.34,61.235,20,9,0,29,FIG0626
1269,Chase,Gibson,El Guero,Orthodox,,177.8,182.88,70.307,9,5,0,14,FIG2357
1270,Kenny,Giddens,,,,180.34,,70.307,12,7,0,19,FIG1585
1271,Thomas,Gifford,The Young Lion,Orthodox,,185.42,190.5,70.307,14,9,0,23,FIG1135
1272,Joseph,Gigliotti,Capo,Orthodox,,180.34,,83.915,7,2,0,9,FIG3120
1273,Joey,Gilbert,,Orthodox,,180.34,,70.307,2,3,0,5,FIG3735
1274,Trevin,Giles,,Orthodox,,182.88,187.96,77.111,16,5,0,21,FIG1318
1275,Kultar,Gill,Black Mamba,Orthodox,,182.88,,69.853,12,8,0,20,FIG1466
1276,Jesse,Gillespie,,,,,,83.915,3,2,0,5,FIG3716
1277,Gregor,Gillespie,The Gift,Orthodox,,170.18,180.34,70.307,14,1,0,15,FIG2140
1278,Jason,Gilliam,,Orthodox,,182.88,,77.111,14,9,0,23,FIG1130
1279,Micheal,Gillmore,The Gentleman,Orthodox,,180.34,182.88,77.111,6,5,0,11,FIG2923
1280,Krishaun,Gilmore,,,,,,,0,1,0,1,FIG4078
1281,Alex,Gilpin,,Orthodox,,170.18,,65.771,11,1,0,12,FIG2570
1282,Bob,Gilstrap,,Orthodox,,190.5,,90.718,5,7,0,12,FIG2576
1283,Eperaim,Ginting,The Wolfman,Orthodox,,162.56,162.56,61.235,6,1,0,7,FIG3469
1284,Demetrius,Gioulacos,,,,180.34,,83.915,0,1,0,1,FIG4079
1285,Billy,Giovanella,Wolverine,,,172.72,,56.699,9,5,0,14,FIG2390
1286,He-Man,Gipson,,,,,,,1,2,0,3,FIG3896
1287,Israel,Giron,El Rojo,,,172.72,,70.307,19,5,0,24,FIG1064
1288,Brandon,Girtz,Cold Roll,,,170.18,,70.307,14,7,0,21,FIG1305
1289,Jason,Glaza,,,,182.88,,104.326,3,2,0,5,FIG3723
1290,Mike,Glenn,,,,,,92.986,5,6,0,11,FIG2897
1291,Ricky,Glenn,The Gladiator,Southpaw,,182.88,177.8,70.307,22,7,2,31,FIG0562
1292,Mark,Godbeer,The Hand Of,Orthodox,,193.04,195.58,108.862,13,4,0,17,FIG1915
1293,Clint,Godfrey,,Southpaw,,167.64000000000001,,61.235,13,3,0,16,FIG1999
1294,Loopy,Godinez,,Orthodox,,157.48000000000002,154.94,52.163,11,3,0,14,FIG2481
1295,Jason,Godsey,,Orthodox,,187.96,,104.326,16,16,0,32,FIG0506
1296,Allan,Goes,,Orthodox,,182.88,,92.986,10,5,2,17,FIG1901
1297,Billy,Goff,,Switch,,177.8,182.88,77.111,9,2,0,11,FIG2904
1298,Amiran,Gogoladze,,Switch,,185.42,187.96,77.111,14,3,0,17,FIG1900
1299,Jonny,Goh,,,,180.34,,70.307,3,4,0,7,FIG3512
1300,Hannah,Goldy,24K,Orthodox,,162.56,154.94,52.163,6,3,0,9,FIG3130
